Names of Unit,Year,Dacoity,Robbery, Murder, Speedy Trial, Riot, Woman & Child Repression, Kidnapping, Police Assault, Burglary, Theft, Other Cases,Arms Act, Explosive Act, Narcotics,Smuggling,Total Cases
BMP,2011,18,8,15,12,0,147,9,12,40,88,564,11,0,196,80,1200
SMP,2011,9,24,37,42,1,158,16,16,31,129,857,8,0,178,32,1538
Dhaka Range,2011,160,174,1199,361,17,4838,144,117,607,1731,19993,260,25,7497,1076,38199
Mymensingh Range,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,2011,164,116,640,241,10,4397,105,116,458,1130,13846,192,20,4122,555,26112
Sylhet Range,2011,60,42,283,58,19,987,40,27,177,481,5473,19,0,1464,190,9320
Khulna Range,2011,58,124,414,105,5,2796,119,32,395,902,10452,152,60,2168,1047,18829
Barisal Range,2011,33,43,194,473,8,1060,60,20,214,331,6611,41,6,350,19,9463
Rajshahi Range,2011,81,146,780,179,22,4735,121,58,385,1388,21174,114,11,2763,2276,34233
Rangpur Range,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Railway Range,2011,3,5,21,5,0,8,2,1,1,95,172,3,0,264,115,695
GMP,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2012,66,222,264,388,11,1637,149,136,592,2240,8296,284,94,8345,99,22823
CMP,2012,10,66,88,74,18,281,27,26,112,283,1492,121,5,1976,41,4620
KMP,2012,1,18,23,14,0,199,16,9,44,76,493,17,7,437,19,1373
RMP,2012,2,24,37,9,6,122,11,15,52,136,728,5,3,229,130,1509
BMP,2012,8,9,20,7,0,135,5,11,40,75,600,16,0,459,49,1434
SMP,2012,8,15,37,52,3,140,6,28,42,116,784,11,1,186,4,1433
Dhaka Range,2012,154,150,1244,426,7,5115,156,135,634,1742,21957,315,28,10918,1039,44020
Mymensingh Range,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,2012,129,103,664,267,17,4221,120,122,430,1134,15873,232,13,4613,531,28469
Sylhet Range,2012,56,26,236,66,17,848,26,29,152,480,6018,38,3,1751,186,9932
Khulna Range,2012,64,151,482,153,12,2564,167,46,359,761,11275,260,110,3372,1207,20983
Barisal Range,2012,34,61,170,232,1,1168,55,13,186,277,6879,44,11,444,56,9631
Rajshahi Range,2012,38,55,464,132,0,2281,54,47,155,554,11932,131,12,3120,2124,21099
Rangpur Range,2012,20,53,354,85,2,2235,53,41,129,607,9586,32,2,1083,959,15241
Railway Range,2012,3,11,31,2,0,1,5,1,0,117,199,5,0,331,134,840
GMP,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2013,47,241,270,338,37,1631,165,203,534,2196,7077,242,387,7927,106,21401
CMP,2013,4,55,95,57,24,244,18,68,74,239,1281,79,37,1977,36,4288
KMP,2013,2,30,31,23,0,153,12,20,39,78,494,23,14,442,9,1370
RMP,2013,3,23,29,19,15,152,23,58,54,166,791,22,15,144,108,1622
BMP,2013,11,11,17,8,1,110,8,25,27,46,487,16,4,607,9,1387
SMP,2013,19,29,32,33,2,131,3,30,26,136,739,19,31,194,4,1428
Dhaka Range,2013,147,175,1303,451,14,4766,149,182,686,1555,22429,296,133,11139,627,44052
